order Id,order Date,Ship Date,Customer ID,Customer Name,Customer Segment,Product ID,Product Name,Category,Region,State,City,Quantity,Unit Price,Discount (%),Sales Amount,Cost Price,Profit,Payment Mode,Delivery Status,Supplier Name,Supplier Email,Stock Left,Auto Reorder,Reorder Quantity
ORD10000,2024-05-21,2024-05-28,CUST730,Brooke Wright,Consumer,PROD18948,Calculater,Office Supplies,South,Montana,East Joseph,3,457,15,1165.35,810.49,354.86,Cash,Returned,Wong-Pierce,bernarddaniel@chang-murillo.com,49,No,0
ORD10001,2025-11-19,2025-11-22,CUST659,Mary Mills,Corporate,PROD17245,BookSelf,Furniture,West,Delaware,Cortezfort,9,7704,10,62402.4,34143.94,28258.46,Credit Card,Delivered,Jackson-Hogan,burnettashley@daniel.biz,33,No,0
ORD10002,2025-02-23,2025-03-02,CUST250,Jason Weiss,Home Office,PROD15496,Keyboard,Electronics,North,New Mexico,Tracybury,3,48057,0,144171.0,129094.94,15076.06,UPI,Returned,Carrillo-Thomas,jwall@calhoun-davidson.com,38,No,0
ORD10003,2025-03-21,2025-03-23,CUST711,Sharon Smith,Consumer,PROD17331,BookSelf,Furniture,North,Minnesota,Hallfort,1,16740,15,14229.0,9396.89,4832.11,Credit Card,Returned,"Bates, Smith and Turner",xstokes@parker.com,38,No,0
ORD10004,2026-03-29,2026-04-02,CUST612,John Henson,Home Office,PROD13838,Office Chair,Furniture,North,New Mexico,Lake Monica,5,10902,25,40882.5,31687.33,9195.17,UPI,Delivered,"Cooper, Davies and Pugh",lindamccoy@morton.com,41,No,0
ORD10005,2024-10-14,2024-10-21,CUST982,Stephen Newton,Corporate,PROD19720,Headphones,Electronics,West,Oklahoma,Robertsonton,3,33104,20,79449.6,72828.29,6621.31,Net Banking,Cancelled,Williams-Hill,marissafitzpatrick@green-ray.com,46,No,0
ORD10006,2024-11-18,2024-11-21,CUST564,Lisa Everett,Corporate,PROD12042,BookSelf,Furniture,South,Montana,Robertfort,1,14707,15,12500.95,8630.34,3870.61,Credit Card,Returned,Reynolds-Perez,fharris@barrett.biz,46,No,0
ORD10007,2024-10-28,2024-10-30,CUST958,Jacob Dixon,Home Office,PROD13374,Snacks,Grocery,North,Maine,West Nicoleview,1,691,0,691.0,578.02,112.98,Net Banking,Returned,"Schmidt, Mora and Simmons",theresa73@peterson.net,36,No,0
ORD10008,2025-03-31,2025-04-07,CUST916,Tammy Moore,Consumer,PROD11235,Notebook,Office Supplies,North,Idaho,Lake Adammouth,9,392,20,2822.4,1590.85,1231.55,Cash,Delivered,"Montgomery, Moore and Combs",crichards@harvey-vazquez.com,21,No,0
ORD10009,2024-08-01,2024-08-05,CUST667,Amy Hensley,Corporate,PROD16521,Cooking Oil,Grocery,South,New Jersey,Reedstad,5,590,5,2802.5,2477.97,324.53,Cash,Cancelled,Cruz and Sons,mbrown@edwards.com,25,No,0
ORD10010,2025-10-11,2025-10-12,CUST150,Eric Roberts,Corporate,PROD15549,File Folder,Office Supplies,North,Florida,Tiffanystad,1,412,10,370.8,214.61,156.19,UPI,Cancelled,Harris Inc,chavezmarie@snyder.info,49,No,0
ORD10011,2024-06-10,2024-06-12,CUST945,Barbara Pratt DVM,Consumer,PROD19173,Sofa,Furniture,South,Kentucky,Doyleburgh,2,19704,25,29556.0,16870.45,12685.55,UPI,Pending,Mueller-Webb,kelseymartin@benjamin.com,23,No,0
